Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1,0,4.14451656,135.92831,2.3421,391.8,1.48,132.08,22.8,4.536,0.779
0,0,4.859386384,173.011469,2.2757,6044.3,38.33,364.23,269.7,4.47,0.988
1,0,10.526294577,176.522462,2.5211,9768.0,8.24,61.16,482.3,4.553,0.793
1,0,4.583520948,169.973972,2.7055,3812.1,5.39,274.98,99.5,4.54,0.877
1,0,3.76181843,171.90364,3.5176,510.6,2.66,372.62,35.9,4.472,0.949
1,0,8.20396958,169.69138,2.9667,1024.4,3.01,71.5,54.4,4.499,0.826
1,0,14.49645186,143.41659,4.016,647.5,3.01,33.48,25.7,4.499,0.826
1,0,6.54626149,133.85964,2.75,655.9,2.19,101.78,24.8,4.581,0.817
1,0,12.71809866,175.35526,3.0957,1149.4,2.31,23.6,52.7,4.592,0.686
1,0,36.06588163,198.58423,4.3246,1563.8,2.64,5.88,51.7,4.592,0.686
1,0,4.190425659,171.44122,2.8589,2877.4,6.21,547.9,240.6,4.392,1.135
1,0,3.709870784,171.987982,3.0694,2020.3,4.35,415.1,116.1,4.463,0.978
1,0,16.3297527,177.29506,6.271,1187.5,3.75,66.08,74.6,4.444,0.987
1,0,27.807566216,186.713552,4.21587,25391.0,13.84,22.24,748.1,4.584,0.785
1,0,80.8723469,203.895,11.195,3604.6,7.59,9.88,160.9,4.222,1.238
0,0,3.166465862,172.002627,2.9381,4357.2,26.82,196.31,122.1,4.575,0.704
1,0,24.99324319,138.68167,5.9409,269.6,2.29,60.88,62.0,4.181,1.317
1,0,10.35533116,170.93729,3.1775,750.6,2.47,86.22,49.2,4.462,0.918
1,0,16.08518937,180.28319,3.984,1442.4,3.68,33.43,62.6,4.523,0.826
1,0,235.9986399,208.399822,8.2284,20715.0,10.59,0.29,271.8,4.627,0.657
1,0,7.49018305,174.95037,2.7297,1123.6,2.56,76.06,53.0,4.562,0.787
1,0,36.2761238,201.2869,4.7865,1572.6,3.03,9.29,45.5,4.562,0.787
1,0,17.46087931,137.26594,2.2641,812.4,2.32,24.6,22.6,4.562,0.787
1,0,56.0560754,201.16578,4.685,1626.0,1.94,0.69,27.4,4.757,0.491
1,0,41.408316686,195.78745,5.0264,22839.0,11.38,9.93,907.8,4.586,0.747
1,0,39.74893077,172.854644,7.3051,15179.0,14.21,21.87,561.1,4.487,0.964
1,0,5.715425977,174.87931,2.5242,908.1,2.47,123.03,59.4,4.572,0.826
1,0,49.18394185,141.911924,11.3364,1646.2,8.2,47.4,355.7,3.907,2.057
1,0,20.0261412,146.91109,1.611,421.2,2.28,23.14,10.7,4.572,0.826
0,0,13.61014819,173.987319,2.594,5732.9,19.02,68.29,184.1,4.46,0.903
0,0,10.44331991,175.4046,2.743,1159.8,2.66,46.94,51.7,4.516,0.802
